candidate_id,network_group,live_conversations,policy,recommended_apply_hours,recommended_network_hours,recommended_portfolio_hours,expected_weekly_hires_contribution,ev_lower_90,ev_upper_90
C0054,low,2,outcome_naive,7.6,19.8,12.6,0.1347,0.0,0.73221
C0055,low,2,outcome_naive,4.18,10.89,6.93,0.07408,0.0,0.51721
C0056,low,2,outcome_naive,7.6,19.8,12.6,0.1347,0.0,0.73221
C0058,low,0,outcome_naive,3.67,11.03,6.3,0.07166,0.0,0.50729
C0059,low,3,outcome_naive,7.9,19.2,12.9,0.1338,0.0,0.72945
C0060,low,1,outcome_naive,4.38,12.24,7.38,0.08136,0.0,0.54563
C0228,low,3,outcome_naive,6.52,15.84,10.64,0.11039,0.0,0.65141
C0062,low,2,outcome_naive,4.37,11.38,7.25,0.07745,0.0,0.53054
C0063,low,1,outcome_naive,4.75,13.26,8.0,0.08814,0.0,0.57137
C0064,low,2,outcome_naive,5.32,13.86,8.82,0.09429,0.0,0.59421
C0065,low,1,outcome_naive,5.11,14.28,8.61,0.09492,0.0,0.59639
C0066,low,1,outcome_naive,4.56,12.75,7.69,0.08475,0.0,0.5586
C0067,low,2,outcome_naive,4.18,10.89,6.93,0.07408,0.0,0.51721
C0068,low,2,outcome_naive,3.99,10.39,6.62,0.07072,0.0,0.50366
C0069,low,0,outcome_naive,5.6,16.8,9.6,0.1092,0.0,0.64695
C0070,low,2,outcome_naive,3.8,9.9,6.3,0.06735,0.0,0.48986
C0071,low,0,outcome_naive,4.55,13.65,7.8,0.08872,0.0,0.57345
C0072,low,1,outcome_naive,6.39,17.85,10.76,0.11865,0.0,0.67931
C0074,low,3,outcome_naive,4.35,10.56,7.1,0.07359,0.0,0.51533
C0075,low,3,outcome_naive,5.53,13.44,9.03,0.09366,0.0,0.59201
C0076,low,1,outcome_naive,4.93,13.77,8.3,0.09153,0.0,0.58396
C0077,low,3,outcome_naive,4.74,11.52,7.74,0.08028,0.0,0.54167
C0079,low,3,outcome_naive,4.35,10.56,7.1,0.07359,0.0,0.51533
C0080,low,1,outcome_naive,5.66,15.81,9.53,0.10509,0.0,0.63274
C0082,mid,5,outcome_naive,5.31,11.25,8.44,0.0825,0.0,0.55044
C0083,mid,8,outcome_naive,5.17,8.91,7.92,0.07111,0.0,0.50587
C0084,mid,7,outcome_naive,4.78,8.82,7.4,0.06835,0.0,0.49449
C0085,mid,6,outcome_naive,8.36,16.53,13.11,0.12455,0.0,0.69962
C0086,mid,8,outcome_naive,7.99,13.77,12.24,0.1099,0.0,0.65038
C0087,mid,4,outcome_naive,8.2,18.6,13.2,0.1329,0.0,0.72668
C0088,mid,4,outcome_naive,7.79,17.67,12.54,0.12626,0.0,0.705
C0089,mid,8,outcome_naive,9.16,15.79,14.04,0.12607,0.0,0.70492
C0090,mid,6,outcome_naive,5.28,10.44,8.28,0.07866,0.0,0.53568
C0091,mid,9,outcome_naive,6.55,10.53,9.92,0.08667,0.0,0.56674
C0092,mid,7,outcome_naive,9.1,16.8,14.1,0.1302,0.0,0.71833
C0093,mid,6,outcome_naive,5.06,10.0,7.94,0.07538,0.0,0.52278
C0094,mid,5,outcome_naive,5.74,12.15,9.11,0.0891,0.0,0.57539
C0095,mid,7,outcome_naive,4.55,8.4,7.05,0.0651,0.0,0.48097
C0096,mid,4,outcome_naive,7.79,17.67,12.54,0.12626,0.0,0.705
C0097,mid,4,outcome_naive,5.95,13.48,9.57,0.09635,0.0,0.60193
C0099,mid,4,outcome_naive,8.0,18.13,12.87,0.12958,0.0,0.71588
C0101,mid,6,outcome_naive,5.28,10.44,8.28,0.07866,0.0,0.53568
C0102,mid,6,outcome_naive,7.26,14.36,11.38,0.10816,0.0,0.64407
C0103,mid,6,outcome_naive,8.8,17.4,13.8,0.1311,0.0,0.72111
C0104,mid,9,outcome_naive,9.46,15.21,14.33,0.12519,0.0,0.70217
C0105,mid,7,outcome_naive,5.46,10.08,8.46,0.07812,0.0,0.53368
C0106,mid,4,outcome_naive,7.58,17.2,12.21,0.12293,0.0,0.69401
C0107,mid,9,outcome_naive,6.3,10.14,9.55,0.08346,0.0,0.55456
C0108,mid,7,outcome_naive,6.83,12.6,10.57,0.09765,0.0,0.60698
C0109,mid,7,outcome_naive,5.0,9.24,7.75,0.07161,0.0,0.50778
C0110,mid,5,outcome_naive,7.01,14.85,11.14,0.1089,0.0,0.64652
C0111,mid,9,outcome_naive,7.28,11.7,11.03,0.0963,0.0,0.60234
C0112,mid,5,outcome_naive,4.25,9.0,6.75,0.066,0.0,0.48454
C0114,mid,5,outcome_naive,5.95,12.6,9.45,0.0924,0.0,0.58762
C0115,mid,5,outcome_naive,5.95,12.6,9.45,0.0924,0.0,0.58762
C0116,mid,6,outcome_naive,5.5,10.88,8.62,0.08194,0.0,0.54839
C0118,mid,4,outcome_naive,5.54,12.55,8.91,0.08971,0.0,0.57754
C0119,mid,9,outcome_naive,5.09,8.19,7.72,0.06741,0.0,0.4908
C0120,mid,8,outcome_naive,7.75,13.37,11.88,0.10667,0.0,0.63914
C0121,mid,8,outcome_naive,7.29,12.55,11.16,0.10021,0.0,0.61629
C0122,mid,7,outcome_naive,8.42,15.54,13.04,0.12043,0.0,0.68608
C0123,mid,6,outcome_naive,7.26,14.36,11.38,0.10816,0.0,0.64407
C0124,mid,5,outcome_naive,4.89,10.35,7.76,0.0759,0.0,0.52473
C0125,mid,8,outcome_naive,6.11,10.53,9.36,0.08405,0.0,0.55668
C0126,mid,5,outcome_naive,6.38,13.5,10.12,0.099,0.0,0.6116
C0127,mid,5,outcome_naive,5.31,11.25,8.44,0.0825,0.0,0.55044
C0128,mid,6,outcome_naive,4.84,9.57,7.59,0.07211,0.0,0.50967
C0129,mid,6,outcome_naive,4.4,8.7,6.9,0.06555,0.0,0.48275
C0132,mid,8,outcome_naive,4.7,8.1,7.2,0.06465,0.0,0.47918
C0133,mid,4,outcome_naive,7.38,16.74,11.88,0.11961,0.0,0.68292
C0135,mid,6,outcome_naive,4.4,8.7,6.9,0.06555,0.0,0.48275
C0136,mid,9,outcome_naive,5.09,8.19,7.72,0.06741,0.0,0.4908
C0137,mid,6,outcome_naive,5.06,10.0,7.94,0.07538,0.0,0.52278
C0177,mid,4,outcome_naive,6.97,15.81,11.22,0.11296,0.0,0.6604
C0139,mid,6,outcome_naive,8.36,16.53,13.11,0.12455,0.0,0.69962
C0141,mid,9,outcome_naive,7.03,11.31,10.66,0.09309,0.0,0.59063
C0142,mid,5,outcome_naive,7.65,16.2,12.15,0.1188,0.0,0.68032
C0143,mid,7,outcome_naive,7.96,14.7,12.34,0.11392,0.0,0.66407
C0144,mid,8,outcome_naive,7.05,12.15,10.8,0.09698,0.0,0.60467
C0145,mid,5,outcome_naive,7.86,16.65,12.49,0.1221,0.0,0.69137
C0146,mid,5,outcome_naive,7.86,16.65,12.49,0.1221,0.0,0.69137
C0147,mid,5,outcome_naive,8.07,17.1,12.82,0.1254,0.0,0.70231
C0149,mid,9,outcome_naive,5.33,8.58,8.09,0.07062,0.0,0.50397
C0150,mid,9,outcome_naive,7.03,11.31,10.66,0.09309,0.0,0.59063
C0152,mid,6,outcome_naive,4.84,9.57,7.59,0.07211,0.0,0.50967
C0153,mid,7,outcome_naive,5.23,9.66,8.11,0.07487,0.0,0.52083
C0154,mid,7,outcome_naive,6.14,11.34,9.52,0.08788,0.0,0.57108
C0155,mid,5,outcome_naive,5.74,12.15,9.11,0.0891,0.0,0.57539
C0156,mid,7,outcome_naive,6.6,12.18,10.22,0.0944,0.0,0.59517
C0157,mid,4,outcome_naive,6.97,15.81,11.22,0.11296,0.0,0.6604
C0159,mid,8,outcome_naive,8.46,14.58,12.96,0.11637,0.0,0.67252
C0160,mid,6,outcome_naive,5.72,11.31,8.97,0.08522,0.0,0.5609
C0161,high,17,outcome_naive,7.0,10.5,10.5,0.08925,0.0,0.57654
C0162,high,11,outcome_naive,7.5,11.25,11.25,0.09562,0.0,0.60002
C0163,high,14,outcome_naive,9.5,14.25,14.25,0.12112,0.0,0.6888
C0164,high,20,outcome_naive,9.0,13.5,13.5,0.11475,0.0,0.66728
C0165,high,15,outcome_naive,5.0,7.5,7.5,0.06375,0.0,0.47558
C0166,high,11,outcome_naive,7.25,10.88,10.88,0.09244,0.0,0.58835
C0167,high,18,outcome_naive,5.75,8.62,8.62,0.07331,0.0,0.51495
C0168,high,19,outcome_naive,9.5,14.25,14.25,0.12112,0.0,0.6888
C0169,high,17,outcome_naive,10.0,15.0,15.0,0.1275,0.0,0.70992
C0170,high,13,outcome_naive,7.5,11.25,11.25,0.09562,0.0,0.60002
C0171,high,15,outcome_naive,7.0,10.5,10.5,0.08925,0.0,0.57654
C0173,high,10,outcome_naive,5.25,7.88,7.88,0.06694,0.0,0.48894
C0174,high,15,outcome_naive,8.0,12.0,12.0,0.102,0.0,0.62293
C0175,high,10,outcome_naive,7.25,10.88,10.88,0.09244,0.0,0.58835
C0176,high,12,outcome_naive,7.5,11.25,11.25,0.09562,0.0,0.60002
C0061,high,13,outcome_naive,8.25,12.38,12.38,0.10519,0.0,0.6342
C0178,high,13,outcome_naive,7.25,10.88,10.88,0.09244,0.0,0.58835
C0179,high,13,outcome_naive,6.0,9.0,9.0,0.0765,0.0,0.52764
C0180,high,20,outcome_naive,9.0,13.5,13.5,0.11475,0.0,0.66728
C0181,high,19,outcome_naive,8.25,12.38,12.38,0.10519,0.0,0.6342
C0183,high,19,outcome_naive,8.25,12.38,12.38,0.10519,0.0,0.6342
C0184,high,10,outcome_naive,7.75,11.62,11.62,0.09881,0.0,0.61154
C0185,high,10,outcome_naive,8.0,12.0,12.0,0.102,0.0,0.62293
C0186,high,18,outcome_naive,8.75,13.12,13.12,0.11156,0.0,0.65637
C0187,high,12,outcome_naive,9.75,14.62,14.62,0.12431,0.0,0.69941
C0188,high,10,outcome_naive,7.75,11.62,11.62,0.09881,0.0,0.61154
C0189,high,18,outcome_naive,10.0,15.0,15.0,0.1275,0.0,0.70992
C0190,high,13,outcome_naive,9.0,13.5,13.5,0.11475,0.0,0.66728
C0191,high,15,outcome_naive,6.25,9.38,9.38,0.07969,0.0,0.54013
C0192,high,15,outcome_naive,9.25,13.88,13.88,0.11794,0.0,0.67809
C0193,high,13,outcome_naive,7.5,11.25,11.25,0.09562,0.0,0.60002
C0194,high,19,outcome_naive,7.75,11.62,11.62,0.09881,0.0,0.61154
C0195,high,19,outcome_naive,5.25,7.88,7.88,0.06694,0.0,0.48894
C0196,high,11,outcome_naive,5.25,7.88,7.88,0.06694,0.0,0.48894
C0197,high,20,outcome_naive,9.75,14.62,14.62,0.12431,0.0,0.69941
C0198,high,16,outcome_naive,5.5,8.25,8.25,0.07012,0.0,0.50206
C0199,high,20,outcome_naive,8.0,12.0,12.0,0.102,0.0,0.62293
C0200,high,20,outcome_naive,9.5,14.25,14.25,0.12112,0.0,0.6888
C0201,high,13,outcome_naive,5.5,8.25,8.25,0.07012,0.0,0.50206
C0202,high,12,outcome_naive,9.0,13.5,13.5,0.11475,0.0,0.66728
C0203,high,20,outcome_naive,7.5,11.25,11.25,0.09562,0.0,0.60002
C0204,high,13,outcome_naive,7.75,11.62,11.62,0.09881,0.0,0.61154
C0206,high,13,outcome_naive,7.75,11.62,11.62,0.09881,0.0,0.61154
C0207,high,10,outcome_naive,8.25,12.38,12.38,0.10519,0.0,0.6342
C0208,high,16,outcome_naive,9.25,13.88,13.88,0.11794,0.0,0.67809
C0209,high,17,outcome_naive,7.75,11.62,11.62,0.09881,0.0,0.61154
C0210,high,18,outcome_naive,7.5,11.25,11.25,0.09562,0.0,0.60002
C0211,high,13,outcome_naive,9.25,13.88,13.88,0.11794,0.0,0.67809
C0213,high,14,outcome_naive,5.0,7.5,7.5,0.06375,0.0,0.47558
C0214,high,12,outcome_naive,8.75,13.12,13.12,0.11156,0.0,0.65637
C0215,high,13,outcome_naive,6.25,9.38,9.38,0.07969,0.0,0.54013
C0216,high,19,outcome_naive,8.5,12.75,12.75,0.10837,0.0,0.64534
C0217,high,16,outcome_naive,7.0,10.5,10.5,0.08925,0.0,0.57654
C0218,high,19,outcome_naive,7.5,11.25,11.25,0.09562,0.0,0.60002
C0219,high,15,outcome_naive,6.75,10.12,10.12,0.08606,0.0,0.56457
C0220,high,18,outcome_naive,8.75,13.12,13.12,0.11156,0.0,0.65637
C0221,high,14,outcome_naive,8.75,13.12,13.12,0.11156,0.0,0.65637
C0223,high,13,outcome_naive,9.25,13.88,13.88,0.11794,0.0,0.67809
C0224,high,12,outcome_naive,9.5,14.25,14.25,0.12112,0.0,0.6888
C0226,high,10,outcome_naive,5.5,8.25,8.25,0.07012,0.0,0.50206
C0227,high,14,outcome_naive,5.75,8.62,8.62,0.07331,0.0,0.51495
C0229,high,12,outcome_naive,9.5,14.25,14.25,0.12112,0.0,0.6888
C0230,high,13,outcome_naive,10.0,15.0,15.0,0.1275,0.0,0.70992
C0231,high,17,outcome_naive,8.25,12.38,12.38,0.10519,0.0,0.6342
C0232,high,13,outcome_naive,6.75,10.12,10.12,0.08606,0.0,0.56457
C0233,high,13,outcome_naive,8.25,12.38,12.38,0.10519,0.0,0.6342
C0234,high,18,outcome_naive,6.5,9.75,9.75,0.08288,0.0,0.55244
C0235,high,11,outcome_naive,8.0,12.0,12.0,0.102,0.0,0.62293
C0138,high,14,outcome_naive,9.0,13.5,13.5,0.11475,0.0,0.66728
C0237,high,19,outcome_naive,8.5,12.75,12.75,0.10837,0.0,0.64534
C0239,high,13,outcome_naive,8.25,12.38,12.38,0.10519,0.0,0.6342
C0240,high,10,outcome_naive,8.25,12.38,12.38,0.10519,0.0,0.6342
