candidate_id,network_group,live_conversations,policy,recommended_apply_hours,recommended_network_hours,recommended_portfolio_hours,expected_weekly_hires_contribution,ev_lower_90,ev_upper_90
C0030,low,1,outcome,3.55,11.28,6.17,0.07204,0.0,0.50874
C0031,low,1,outcome,4.22,13.43,7.35,0.08576,0.0,0.56224
C0032,low,3,outcome,3.93,10.52,6.55,0.07091,0.0,0.50439
C0033,low,3,outcome,3.74,10.02,6.24,0.06753,0.0,0.49056
C0034,low,3,outcome,6.54,17.54,10.92,0.11818,0.0,0.6778
C0035,low,2,outcome,6.76,19.72,11.51,0.12933,0.0,0.71461
C0036,low,1,outcome,4.39,13.96,7.64,0.08919,0.0,0.57511
C0037,low,3,outcome,5.42,14.53,9.05,0.09792,0.0,0.60732
C0038,low,0,outcome,5.6,19.43,9.97,0.12101,0.0,0.68686
C0039,low,2,outcome,7.12,20.76,12.12,0.13614,0.0,0.73663
C0040,low,2,outcome,6.76,19.72,11.51,0.12933,0.0,0.71461
C0041,low,2,outcome,3.92,11.42,6.67,0.07488,0.0,0.52021
C0042,low,0,outcome,4.48,15.54,7.98,0.09681,0.0,0.60292
C0044,low,3,outcome,5.24,14.03,8.74,0.09454,0.0,0.59508
C0045,low,2,outcome,3.56,10.38,6.06,0.06807,0.0,0.49268
C0046,low,2,outcome,6.41,18.68,10.91,0.12253,0.0,0.6922
C0047,low,1,outcome,3.89,12.35,6.76,0.0789,0.0,0.53593
C0048,low,0,outcome,3.2,11.1,5.7,0.06915,0.0,0.49689
C0049,low,1,outcome,3.38,10.74,5.88,0.06861,0.0,0.49479
C0050,low,0,outcome,4.48,15.54,7.98,0.09681,0.0,0.60292
C0051,low,2,outcome,4.63,13.49,7.88,0.08849,0.0,0.57262
C0052,low,2,outcome,5.34,15.57,9.09,0.10211,0.0,0.62214
C0053,low,2,outcome,6.76,19.72,11.51,0.12933,0.0,0.71461
C0054,low,2,outcome,7.12,20.76,12.12,0.13614,0.0,0.73663
C0055,low,2,outcome,3.92,11.42,6.67,0.07488,0.0,0.52021
C0056,low,2,outcome,7.12,20.76,12.12,0.13614,0.0,0.73663
C0058,low,0,outcome,3.36,11.65,5.99,0.07261,0.0,0.51091
C0059,low,3,outcome,7.48,20.04,12.48,0.13506,0.0,0.73332
C0060,low,1,outcome,4.06,12.89,7.06,0.08233,0.0,0.54919
C0228,low,3,outcome,6.17,16.53,10.3,0.11142,0.0,0.65482
C0062,low,2,outcome,4.09,11.94,6.97,0.07828,0.0,0.53362
C0063,low,1,outcome,4.39,13.96,7.64,0.08919,0.0,0.57511
C0064,low,2,outcome,4.98,14.53,8.48,0.0953,0.0,0.5977
C0065,low,1,outcome,4.73,15.04,8.23,0.09605,0.0,0.60031
C0066,low,1,outcome,4.22,13.43,7.35,0.08576,0.0,0.56224
C0067,low,2,outcome,3.92,11.42,6.67,0.07488,0.0,0.52021
C0068,low,2,outcome,3.74,10.9,6.36,0.07147,0.0,0.50657
C0069,low,0,outcome,5.12,17.76,9.12,0.11064,0.0,0.65169
C0070,low,2,outcome,3.56,10.38,6.06,0.06807,0.0,0.49268
C0071,low,0,outcome,4.16,14.43,7.41,0.0899,0.0,0.5776
C0072,low,1,outcome,5.92,18.8,10.29,0.12007,0.0,0.68385
C0074,low,3,outcome,4.11,11.02,6.86,0.07428,0.0,0.51796
C0075,low,3,outcome,5.24,14.03,8.74,0.09454,0.0,0.59508
C0076,low,1,outcome,4.56,14.5,7.94,0.09262,0.0,0.5878
C0077,low,3,outcome,4.49,12.02,7.49,0.08104,0.0,0.54444
C0079,low,3,outcome,4.11,11.02,6.86,0.07428,0.0,0.51796
C0080,low,1,outcome,5.24,16.65,9.11,0.10635,0.0,0.63693
C0082,mid,5,outcome,5.12,11.62,8.25,0.08306,0.0,0.55248
C0083,mid,8,outcome,5.1,9.04,7.85,0.07131,0.0,0.50664
C0084,mid,7,outcome,4.68,9.01,7.31,0.06864,0.0,0.4956
C0085,mid,6,outcome,8.13,16.99,12.88,0.12523,0.0,0.70177
C0086,mid,8,outcome,7.89,13.97,12.14,0.11021,0.0,0.65139
C0087,mid,4,outcome,7.84,19.32,12.84,0.13398,0.0,0.73
C0088,mid,4,outcome,7.45,18.35,12.2,0.12728,0.0,0.70821
C0089,mid,8,outcome,9.05,16.03,13.92,0.12642,0.0,0.70602
C0090,mid,6,outcome,5.14,10.73,8.14,0.07909,0.0,0.53728
C0091,mid,9,outcome,6.51,10.61,9.88,0.08679,0.0,0.56718
C0092,mid,7,outcome,8.92,17.16,13.92,0.13074,0.0,0.72
C0093,mid,6,outcome,4.92,10.28,7.8,0.0758,0.0,0.52434
C0094,mid,5,outcome,5.54,12.55,8.91,0.08971,0.0,0.57754
C0095,mid,7,outcome,4.46,8.58,6.96,0.06537,0.0,0.48204
C0096,mid,4,outcome,7.45,18.35,12.2,0.12728,0.0,0.70821
C0097,mid,4,outcome,5.68,14.01,9.31,0.09714,0.0,0.60463
C0099,mid,4,outcome,7.64,18.84,12.52,0.13063,0.0,0.71915
C0101,mid,6,outcome,5.14,10.73,8.14,0.07909,0.0,0.53728
C0102,mid,6,outcome,7.06,14.75,11.19,0.10875,0.0,0.64603
C0103,mid,6,outcome,8.56,17.88,13.56,0.13182,0.0,0.72334
C0104,mid,9,outcome,9.4,15.33,14.27,0.12537,0.0,0.70272
C0105,mid,7,outcome,5.35,10.3,8.35,0.07844,0.0,0.53488
C0106,mid,4,outcome,7.25,17.87,11.88,0.12393,0.0,0.69717
C0107,mid,9,outcome,6.27,10.22,9.52,0.08358,0.0,0.55498
C0108,mid,7,outcome,6.69,12.87,10.44,0.09806,0.0,0.60837
C0109,mid,7,outcome,4.91,9.44,7.66,0.07191,0.0,0.50891
C0110,mid,5,outcome,6.77,15.34,10.89,0.10964,0.0,0.64897
C0111,mid,9,outcome,7.23,11.79,10.98,0.09643,0.0,0.60281
C0112,mid,5,outcome,4.1,9.3,6.6,0.06645,0.0,0.48631
C0114,mid,5,outcome,5.74,13.02,9.24,0.09303,0.0,0.58982
C0115,mid,5,outcome,5.74,13.02,9.24,0.09303,0.0,0.58982
C0116,mid,6,outcome,5.35,11.18,8.47,0.08239,0.0,0.55003
C0118,mid,4,outcome,5.29,13.04,8.67,0.09044,0.0,0.58012
C0119,mid,9,outcome,5.06,8.25,7.69,0.0675,0.0,0.49117
C0120,mid,8,outcome,7.66,13.56,11.78,0.10697,0.0,0.64013
C0121,mid,8,outcome,7.19,12.74,11.07,0.10049,0.0,0.61724
C0122,mid,7,outcome,8.25,15.87,12.88,0.12093,0.0,0.68767
C0123,mid,6,outcome,7.06,14.75,11.19,0.10875,0.0,0.64603
C0124,mid,5,outcome,4.71,10.7,7.59,0.07642,0.0,0.52667
C0125,mid,8,outcome,6.03,10.69,9.28,0.08428,0.0,0.55752
C0126,mid,5,outcome,6.15,13.95,9.9,0.09968,0.0,0.6139
C0127,mid,5,outcome,5.12,11.62,8.25,0.08306,0.0,0.55248
C0128,mid,6,outcome,4.71,9.83,7.46,0.0725,0.0,0.51119
C0129,mid,6,outcome,4.28,8.94,6.78,0.06591,0.0,0.48418
C0132,mid,8,outcome,4.64,8.22,7.14,0.06483,0.0,0.47989
C0133,mid,4,outcome,7.06,17.39,11.56,0.12058,0.0,0.68602
C0135,mid,6,outcome,4.28,8.94,6.78,0.06591,0.0,0.48418
C0136,mid,9,outcome,5.06,8.25,7.69,0.0675,0.0,0.49117
C0137,mid,6,outcome,4.92,10.28,7.8,0.0758,0.0,0.52434
C0177,mid,4,outcome,6.66,16.42,10.91,0.11388,0.0,0.66339
C0139,mid,6,outcome,8.13,16.99,12.88,0.12523,0.0,0.70177
C0141,mid,9,outcome,6.99,11.4,10.61,0.09322,0.0,0.59108
C0142,mid,5,outcome,7.38,16.74,11.88,0.11961,0.0,0.68292
C0143,mid,7,outcome,7.8,15.02,12.18,0.1144,0.0,0.6656
C0144,mid,8,outcome,6.96,12.33,10.71,0.09724,0.0,0.60559
C0145,mid,5,outcome,7.58,17.2,12.21,0.12293,0.0,0.69401
C0146,mid,5,outcome,7.58,17.2,12.21,0.12293,0.0,0.69401
C0147,mid,5,outcome,7.79,17.67,12.54,0.12626,0.0,0.705
C0149,mid,9,outcome,5.3,8.65,8.05,0.07072,0.0,0.50435
C0150,mid,9,outcome,6.99,11.4,10.61,0.09322,0.0,0.59108
C0152,mid,6,outcome,4.71,9.83,7.46,0.0725,0.0,0.51119
C0153,mid,7,outcome,5.13,9.87,8.0,0.07518,0.0,0.522
C0154,mid,7,outcome,6.02,11.58,9.4,0.08825,0.0,0.57238
C0155,mid,5,outcome,5.54,12.55,8.91,0.08971,0.0,0.57754
C0156,mid,7,outcome,6.47,12.44,10.09,0.09479,0.0,0.59652
C0157,mid,4,outcome,6.66,16.42,10.91,0.11388,0.0,0.66339
C0159,mid,8,outcome,8.35,14.8,12.85,0.11669,0.0,0.67356
C0160,mid,6,outcome,5.56,11.62,8.81,0.08568,0.0,0.56258
C0161,high,17,outcome,7.0,10.5,10.5,0.08925,0.0,0.57654
C0162,high,11,outcome,7.5,11.25,11.25,0.09562,0.0,0.60002
C0163,high,14,outcome,9.5,14.25,14.25,0.12112,0.0,0.6888
C0164,high,20,outcome,9.0,13.5,13.5,0.11475,0.0,0.66728
C0165,high,15,outcome,5.0,7.5,7.5,0.06375,0.0,0.47558
C0166,high,11,outcome,7.25,10.88,10.88,0.09244,0.0,0.58835
C0167,high,18,outcome,5.75,8.62,8.62,0.07331,0.0,0.51495
C0168,high,19,outcome,9.5,14.25,14.25,0.12112,0.0,0.6888
C0169,high,17,outcome,10.0,15.0,15.0,0.1275,0.0,0.70992
C0170,high,13,outcome,7.5,11.25,11.25,0.09562,0.0,0.60002
C0171,high,15,outcome,7.0,10.5,10.5,0.08925,0.0,0.57654
C0173,high,10,outcome,5.25,7.88,7.88,0.06694,0.0,0.48894
C0174,high,15,outcome,8.0,12.0,12.0,0.102,0.0,0.62293
C0175,high,10,outcome,7.25,10.88,10.88,0.09244,0.0,0.58835
C0176,high,12,outcome,7.5,11.25,11.25,0.09562,0.0,0.60002
C0061,high,13,outcome,8.25,12.38,12.38,0.10519,0.0,0.6342
C0178,high,13,outcome,7.25,10.88,10.88,0.09244,0.0,0.58835
C0179,high,13,outcome,6.0,9.0,9.0,0.0765,0.0,0.52764
C0180,high,20,outcome,9.0,13.5,13.5,0.11475,0.0,0.66728
C0181,high,19,outcome,8.25,12.38,12.38,0.10519,0.0,0.6342
C0183,high,19,outcome,8.25,12.38,12.38,0.10519,0.0,0.6342
C0184,high,10,outcome,7.75,11.62,11.62,0.09881,0.0,0.61154
C0185,high,10,outcome,8.0,12.0,12.0,0.102,0.0,0.62293
C0186,high,18,outcome,8.75,13.12,13.12,0.11156,0.0,0.65637
C0187,high,12,outcome,9.75,14.62,14.62,0.12431,0.0,0.69941
C0188,high,10,outcome,7.75,11.62,11.62,0.09881,0.0,0.61154
C0189,high,18,outcome,10.0,15.0,15.0,0.1275,0.0,0.70992
C0190,high,13,outcome,9.0,13.5,13.5,0.11475,0.0,0.66728
C0191,high,15,outcome,6.25,9.38,9.38,0.07969,0.0,0.54013
C0192,high,15,outcome,9.25,13.88,13.88,0.11794,0.0,0.67809
C0193,high,13,outcome,7.5,11.25,11.25,0.09562,0.0,0.60002
C0194,high,19,outcome,7.75,11.62,11.62,0.09881,0.0,0.61154
C0195,high,19,outcome,5.25,7.88,7.88,0.06694,0.0,0.48894
C0196,high,11,outcome,5.25,7.88,7.88,0.06694,0.0,0.48894
C0197,high,20,outcome,9.75,14.62,14.62,0.12431,0.0,0.69941
C0198,high,16,outcome,5.5,8.25,8.25,0.07012,0.0,0.50206
C0199,high,20,outcome,8.0,12.0,12.0,0.102,0.0,0.62293
C0200,high,20,outcome,9.5,14.25,14.25,0.12112,0.0,0.6888
C0201,high,13,outcome,5.5,8.25,8.25,0.07012,0.0,0.50206
C0202,high,12,outcome,9.0,13.5,13.5,0.11475,0.0,0.66728
C0203,high,20,outcome,7.5,11.25,11.25,0.09562,0.0,0.60002
C0204,high,13,outcome,7.75,11.62,11.62,0.09881,0.0,0.61154
C0206,high,13,outcome,7.75,11.62,11.62,0.09881,0.0,0.61154
C0207,high,10,outcome,8.25,12.38,12.38,0.10519,0.0,0.6342
C0208,high,16,outcome,9.25,13.88,13.88,0.11794,0.0,0.67809
C0209,high,17,outcome,7.75,11.62,11.62,0.09881,0.0,0.61154
C0210,high,18,outcome,7.5,11.25,11.25,0.09562,0.0,0.60002
C0211,high,13,outcome,9.25,13.88,13.88,0.11794,0.0,0.67809
C0213,high,14,outcome,5.0,7.5,7.5,0.06375,0.0,0.47558
C0214,high,12,outcome,8.75,13.12,13.12,0.11156,0.0,0.65637
C0215,high,13,outcome,6.25,9.38,9.38,0.07969,0.0,0.54013
C0216,high,19,outcome,8.5,12.75,12.75,0.10837,0.0,0.64534
C0217,high,16,outcome,7.0,10.5,10.5,0.08925,0.0,0.57654
C0218,high,19,outcome,7.5,11.25,11.25,0.09562,0.0,0.60002
C0219,high,15,outcome,6.75,10.12,10.12,0.08606,0.0,0.56457
C0220,high,18,outcome,8.75,13.12,13.12,0.11156,0.0,0.65637
C0221,high,14,outcome,8.75,13.12,13.12,0.11156,0.0,0.65637
C0223,high,13,outcome,9.25,13.88,13.88,0.11794,0.0,0.67809
C0224,high,12,outcome,9.5,14.25,14.25,0.12112,0.0,0.6888
C0226,high,10,outcome,5.5,8.25,8.25,0.07012,0.0,0.50206
C0227,high,14,outcome,5.75,8.62,8.62,0.07331,0.0,0.51495
C0229,high,12,outcome,9.5,14.25,14.25,0.12112,0.0,0.6888
C0230,high,13,outcome,10.0,15.0,15.0,0.1275,0.0,0.70992
C0231,high,17,outcome,8.25,12.38,12.38,0.10519,0.0,0.6342
C0232,high,13,outcome,6.75,10.12,10.12,0.08606,0.0,0.56457
C0233,high,13,outcome,8.25,12.38,12.38,0.10519,0.0,0.6342
C0234,high,18,outcome,6.5,9.75,9.75,0.08288,0.0,0.55244
C0235,high,11,outcome,8.0,12.0,12.0,0.102,0.0,0.62293
C0138,high,14,outcome,9.0,13.5,13.5,0.11475,0.0,0.66728
C0237,high,19,outcome,8.5,12.75,12.75,0.10837,0.0,0.64534
C0239,high,13,outcome,8.25,12.38,12.38,0.10519,0.0,0.6342
C0240,high,10,outcome,8.25,12.38,12.38,0.10519,0.0,0.6342
