candidate_id,network_group,live_conversations,weeks_in_search,hours_available_per_week,visa_constrained,weeks_remaining_on_authorization,portfolio_pieces_deployed_90d,base_conversion_cold,base_conversion_referral
C0156,mid,7,3,29,False,,0,0.002,0.03
C0157,mid,4,1,34,False,,1,0.002,0.03
C0158,mid,8,11,5,False,,1,0.002,0.03
C0159,mid,8,7,36,True,13,1,0.002,0.03
C0160,mid,6,5,26,True,20,0,0.002,0.03
C0161,high,17,3,28,False,,0,0.002,0.03
C0162,high,11,7,30,True,4,1,0.002,0.03
C0163,high,14,10,38,True,11,2,0.002,0.03
C0164,high,20,4,36,False,,2,0.002,0.03
C0165,high,15,8,20,False,,1,0.002,0.03
C0166,high,11,7,29,True,16,2,0.002,0.03
C0167,high,18,9,23,True,12,3,0.002,0.03
C0168,high,19,5,38,True,8,1,0.002,0.03
C0169,high,17,2,40,False,,1,0.002,0.03
C0170,high,13,7,30,True,16,2,0.002,0.03
C0171,high,15,5,28,False,,1,0.002,0.03
C0172,high,13,11,,False,,3,0.002,0.03
C0173,high,10,3,21,False,,1,0.002,0.03
C0174,high,15,6,32,False,,0,0.002,0.03
C0175,high,10,2,29,True,12,3,0.002,0.03
C0176,high,12,2,30,True,18,0,0.002,0.03
C0061,high,13,8,33,True,15,1,0.002,0.03
C0178,high,13,5,29,False,,0,0.002,0.03
C0179,high,13,10,24,True,14,3,0.002,0.03
C0180,high,20,6,36,True,6,0,0.002,0.03
C0181,high,19,2,33,False,,2,0.002,0.03
C0182,high,16,2,20,False,,1,0.005,0.06
C0183,high,19,5,33,True,6,2,0.002,0.03
C0184,high,10,8,31,True,20,0,0.002,0.03
C0185,high,10,1,32,False,,2,0.002,0.03
C0186,high,18,6,35,True,3,1,0.002,0.03
C0187,high,12,9,39,True,3,0,0.002,0.03
C0188,high,10,9,31,False,,2,0.002,0.03
C0189,high,18,5,40,False,,1,0.002,0.03
C0190,high,13,8,36,True,7,1,0.002,0.03
C0191,high,15,2,25,False,,1,0.002,0.03
C0192,high,15,6,37,True,9,0,0.002,0.03
C0193,high,13,1,30,True,9,0,0.002,0.03
C0194,high,19,2,31,True,2,1,0.002,0.03
C0195,high,19,9,21,False,,3,0.002,0.03
C0196,high,11,4,21,True,8,0,0.002,0.03
C0197,high,20,11,39,True,4,0,0.002,0.03
C0198,high,16,6,22,True,7,0,0.002,0.03
C0199,high,20,7,32,True,20,2,0.002,0.03
C0200,high,20,1,38,True,14,2,0.002,0.03
C0201,high,13,11,22,True,6,3,0.002,0.03
C0202,high,12,11,36,True,17,1,0.002,0.03
C0203,high,20,6,30,True,11,0,0.002,0.03
C0204,high,13,12,31,True,10,0,0.002,0.03
C0205,high,10,10,,True,11,1,0.002,0.03
C0206,high,13,6,31,True,17,2,0.002,0.03
C0207,high,10,12,33,False,,0,0.002,0.03
C0208,high,16,2,37,False,,0,0.002,0.03
C0209,high,17,3,31,True,4,2,0.002,0.03
C0210,high,18,9,30,False,,3,0.002,0.03
C0211,high,13,7,37,True,11,1,0.002,0.03
C0212,low,14,7,25,True,9,1,0.002,0.03
C0213,high,14,4,20,True,18,0,0.002,0.03
C0214,high,12,4,35,False,,0,0.002,0.03
C0215,high,13,5,25,False,,0,0.002,0.03
C0216,high,19,11,34,True,14,1,0.002,0.03
C0217,high,16,12,28,True,15,0,0.002,0.03
C0218,high,19,2,30,True,15,1,0.002,0.03
C0219,high,15,6,27,True,17,1,0.002,0.03
C0220,high,18,1,35,False,,1,0.002,0.03
C0221,high,14,10,35,True,4,0,0.002,0.03
C0222,high,18,3,,False,,0,0.002,0.03
C0223,high,13,2,37,False,,0,0.002,0.03
C0224,high,12,3,38,False,,0,0.002,0.03
C0225,high,15,1,95,True,4,0,0.002,0.03
C0226,high,10,9,22,False,,1,0.002,0.03
C0227,high,14,8,23,False,,1,0.002,0.03
C0228,high,18,5,34,False,,3,0.005,0.06
C0229,high,12,5,38,False,,3,0.002,0.03
C0230,high,13,8,40,False,,0,0.002,0.03
C0231,high,17,8,33,False,,0,0.002,0.03
C0232,high,13,10,27,True,19,1,0.002,0.03
C0233,high,13,5,33,True,3,0,0.002,0.03
C0234,high,18,10,26,False,,2,0.002,0.03
C0235,high,11,4,32,False,,1,0.002,0.03
C0138,high,14,9,36,False,,1,0.002,0.03
C0237,high,19,7,34,False,,0,0.002,0.03
C0238,high,13,7,,True,10,1,0.002,0.03
C0239,high,13,7,33,True,15,1,0.002,0.03
C0240,high,10,12,33,True,7,0,0.002,0.03
